boundary_id,owner,file,mechanism,reviewed_line,trigger,reactive_reads,isolation,catch_behavior,generation_guard,failure_behavior,category,routing,callback_contract,reactive_consumer,restore_specific
R/session_save_restore/session_save_restore_core_helpers.R::tryCatch finally::1,Session restore orchestrator,R/session_save_restore/session_save_restore_core_helpers.R,tryCatch finally,411,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_core_helpers.R::on.exit finalizer::1,Session restore orchestrator,R/session_save_restore/session_save_restore_core_helpers.R,on.exit finalizer,446,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_core_helpers.R::tryCatch finally::2,Session restore orchestrator,R/session_save_restore/session_save_restore_core_helpers.R,tryCatch finally,479,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_core_helpers.R::on.exit finalizer::2,Session restore orchestrator,R/session_save_restore/session_save_restore_core_helpers.R,on.exit finalizer,2641,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_module_registration.R::on.exit finalizer::1,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,on.exit finalizer,994,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_module_registration.R::onFlushed::1,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,onFlushed,2100,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,shared restore callback runner,no,yes
R/session_save_restore/session_save_restore_module_registration.R::onFlushed::2,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,onFlushed,2159,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,shared restore callback runner,no,yes
R/session_save_restore/session_save_restore_module_registration.R::on.exit finalizer::2,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,on.exit finalizer,2288,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_module_registration.R::on.exit finalizer::3,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,on.exit finalizer,2444,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_module_registration.R::on.exit finalizer::4,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,on.exit finalizer,2493,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_module_registration.R::on.exit finalizer::5,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,on.exit finalizer,2542,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_module_registration.R::on.exit finalizer::6,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,on.exit finalizer,2581,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_module_registration.R::on.exit finalizer::7,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,on.exit finalizer,2621,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_module_registration.R::on.exit finalizer::8,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,on.exit finalizer,2663,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_module_registration.R::on.exit finalizer::9,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,on.exit finalizer,2708,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_module_registration.R::on.exit finalizer::10,Session restore orchestrator,R/session_save_restore/session_save_restore_module_registration.R,on.exit finalizer,2747,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_orchestration.R::on.exit finalizer::1,Session restore orchestrator,R/session_save_restore/session_save_restore_orchestration.R,on.exit finalizer,158,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_orchestration.R::on.exit finalizer::2,Session restore orchestrator,R/session_save_restore/session_save_restore_orchestration.R,on.exit finalizer,2348,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_orchestration.R::later::1,Session restore orchestrator,R/session_save_restore/session_save_restore_orchestration.R,later,2449,later event-loop timer,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,shared restore callback runner,no,yes
R/session_save_restore/session_save_restore_orchestration.R::on.exit finalizer::3,Session restore orchestrator,R/session_save_restore/session_save_restore_orchestration.R,on.exit finalizer,2503,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_orchestration.R::on.exit finalizer::4,Session restore orchestrator,R/session_save_restore/session_save_restore_orchestration.R,on.exit finalizer,2510,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_orchestration.R::on.exit finalizer::5,Session restore orchestrator,R/session_save_restore/session_save_restore_orchestration.R,on.exit finalizer,2515,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
R/session_save_restore/session_save_restore_orchestration.R::onFlushed::1,Session restore orchestrator,R/session_save_restore/session_save_restore_orchestration.R,onFlushed,3195,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,shared restore callback runner,no,yes
R/session_save_restore/session_save_restore_orchestration.R::on.exit finalizer::6,Session restore orchestrator,R/session_save_restore/session_save_restore_orchestration.R,on.exit finalizer,3699,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
